id,sentiment
"12311_10",0.9982087
"8348_2",0.0133264
"5828_4",0.5821072
"7186_2",0.7674911
"12128_7",0.9693206
"2913_8",0.8339130
"4396_1",0.0076266
"395_2",0.2322142
"10616_1",0.0001179
"9074_9",0.4710042
"9252_3",0.0204744
"9896_9",0.7936050
"574_4",0.5566653
"11182_8",0.6940364
"11656_4",0.5207270
"2322_4",0.6038693
"8703_1",0.0506075
"7483_1",0.0767184
"6007_10",0.9757014
"12424_4",0.0066410
"4672_1",0.0004229
"10841_3",0.0245965
"8954_7",0.5254348
"7392_1",0.0183258
"10288_8",0.9586092
"5343_4",0.0108771
"4950_1",0.0003424
"9257_4",0.6989938
"8689_3",0.0599522
"4480_2",0.1230986
"9286_10",0.9947575
"12245_10",0.9997073
"7529_7",0.8620387
"4_4",0.1342592
"5299_2",0.0031945
"12077_8",0.7608104
"10701_2",0.0046792
"11579_1",0.0057624
"10993_1",0.0111007
"8913_1",0.0622965
"1350_3",0.0842153
"3804_2",0.0086127
"5025_3",0.1925044
"5170_8",0.3638768
"8225_8",0.9877744
"6427_7",0.9608202
"3165_3",0.3820432
"7902_9",0.9993711
"8208_3",0.0012660
"3577_8",0.9528509
"4865_1",0.0221790
"9063_3",0.1846143
"1106_1",0.4459117
"1117_9",0.9934310
"1050_4",0.1947607
"10755_9",0.7124676
"2729_8",0.9258305
"10072_10",0.9971083
"2904_7",0.9817632
"4584_2",0.5585257
"189_4",0.5144079
"6302_4",0.2221768
"8138_9",0.8861299
"1262_1",0.0584705
"2199_10",0.9902561
"6551_7",0.8741574
"8082_7",0.3216078
"4897_8",0.9933630
"7360_1",0.0093168
"11012_10",0.9707774
"12046_1",0.3745939
"2331_2",0.5042653
"8961_9",0.9817923
"751_7",0.5597556
"9884_10",0.9200552
"10016_8",0.9742197
"8023_10",0.9771505
"2628_1",0.0023727
"5832_1",0.0083024
"7302_1",0.0142871
"4501_3",0.2423887
"1121_7",0.6198337
"8334_3",0.5202856
"9789_10",0.6035069
"4230_10",0.9622478
"824_4",0.1038868
"6803_9",0.8030297
"3086_7",0.9432286
"1135_8",0.9927832
"10136_1",0.0012236
"11129_3",0.0042209
"2072_8",0.7367037
"9501_7",0.9856413
"319_10",0.9696952
"1693_7",0.9852869
"10886_1",0.0002552
"9406_8",0.8064760
"10376_10",0.3582255
"9902_1",0.0145910
"9938_8",0.2874805
"7080_9",0.7445731
"11944_8",0.8503829
"5249_1",0.0050075
"9599_2",0.2497070
"9620_1",0.0604832
"11244_1",0.0052803
"6841_10",0.9920763
"10050_4",0.7842620
"10512_9",0.9507533
"11327_3",0.0023633
"10681_8",0.9630327
"808_3",0.2577713
"546_7",0.9946337
"10765_1",0.0001648
"7189_9",0.8496798
"6005_9",0.9783519
"11915_9",0.9189053
"5740_10",0.9365208
"7097_10",0.2026788
"9573_10",0.7016143
"5084_4",0.4875010
"12332_7",0.5183675
"8154_1",0.0196730
"5610_1",0.1186513
"5323_9",0.8614046
"11034_8",0.9060487
"3977_2",0.1225849
"12380_7",0.1815853
"1737_8",0.7028523
"6030_9",0.9056083
"5918_7",0.9590070
"7061_9",0.7056650
"266_8",0.9913893
"1375_10",0.9853622
"8648_3",0.0007414
"10146_10",0.9895824
"4578_10",0.9820654
"4685_8",0.9669189
"11843_9",0.8463482
"5467_10",0.9974889
"10140_10",0.9628070
"7721_8",0.9935609
"11208_10",0.4515970
"1063_10",0.9317459
"8260_10",0.8765894
"3182_9",0.9586038
"2797_8",0.9287756
"7613_2",0.9361407
"11624_4",0.0315668
"4847_10",0.9889105
"10684_7",0.5008111
"6312_1",0.3481490
"4925_3",0.0036106
"4125_1",0.0003952
"2394_10",0.9998824
"12105_10",0.9021436
"7812_1",0.0023651
"1061_8",0.9755150
"9343_3",0.4718875
"7696_10",0.9977749
"9355_10",0.9996139
"782_9",0.9967224
"9882_10",0.9994188
"10642_10",0.8371281
"7410_2",0.0150863
"9591_4",0.0058221
"11902_3",0.1354574
"3495_7",0.1429496
"6733_1",0.0003128
"4552_1",0.0000207
"6722_1",0.0416326
"188_10",0.9494880
"5099_10",0.9724097
"10313_1",0.0545051
"6756_9",0.8811016
"6622_2",0.0051878
"4807_10",0.9997189
"7173_3",0.0888551
"11321_8",0.8489737
"7909_9",0.2849778
"8012_7",0.0313859
"8615_4",0.0189316
"8117_10",0.9859756
"1892_10",0.9566519
"4617_1",0.1520490
"1893_8",0.9692274
"5435_1",0.0305294
"162_3",0.0474679
"6516_10",0.9947594
"11588_7",0.9196706
"2006_1",0.0378980
"1594_4",0.2174681
"1472_1",0.0003538
"3647_1",0.1631757
"174_7",0.9735431
"5539_7",0.0268944
"3384_10",0.9996878
"3811_4",0.3767951
"4079_8",0.3558313
"1179_7",0.7605907
"3069_9",0.9995064
"3769_8",0.8997215
"9247_10",0.8763047
"10434_1",0.0085484
"1147_10",0.9944504
"5344_7",0.9250152
"8073_10",0.9471931
"7833_3",0.0076644
"8370_1",0.0171486
"9007_8",0.3575574
"6624_7",0.3922078
"6683_3",0.0379619
"12275_7",0.6288887
"11927_8",0.9626768
"1560_10",0.9986364
"1325_9",0.4840362
"3548_8",0.3008539
"607_1",0.0006491
"6702_7",0.6860088
"5702_3",0.0116513
"11345_8",0.9642367
"3428_4",0.1995600
"7209_9",0.9990506
"8425_8",0.9628343
"3087_1",0.0355628
"1119_8",0.5506788
"5715_3",0.3310555
"8645_1",0.0153329
"2149_3",0.0017115
"10403_10",0.8180082
"5628_1",0.0464454
"5570_10",0.9974989
"1613_3",0.0317152
"1454_4",0.9119668
"5094_3",0.0956526
"7982_1",0.0854625
"6894_2",0.6128729
"6554_1",0.1600603
"4721_3",0.2124468
"6904_4",0.0344017
"893_8",0.9920300
"4605_4",0.4798006
"11516_7",0.5348659
"11718_7",0.9975329
"5956_1",0.0002002
"7455_9",0.7496717
"6396_4",0.9094903
"1223_8",0.9462146
"8556_1",0.0789669
"6108_8",0.8184547
"11690_1",0.0026949
"3778_9",0.6295965
"3627_4",0.3094706
"8256_4",0.2733748
"533_1",0.0068324
"5235_4",0.0002297
"621_2",0.3094620
"5365_1",0.1591340
"8180_3",0.4571644
"7396_7",0.2432737
"9776_10",0.9891994
"8175_10",0.9865590
"3128_1",0.0192268
"4606_1",0.2583749
"6158_2",0.0159029
"3281_10",0.7833944
"4723_4",0.0247183
"11994_3",0.1453825
"7701_1",0.0000298
"103_3",0.2019104
"8908_10",0.9873768
"8876_1",0.0084584
"7519_9",0.9193414
"12456_8",0.6845041
"9514_8",0.9306137
"8680_8",0.2881014
"12402_10",0.8594056
"362_2",0.1165209
"9825_7",0.8970395
"2913_3",0.6934571
"7164_8",0.9862949
"11177_7",0.7754796
"5707_10",0.9888037
"8103_10",0.9366927
"6289_1",0.0000763
"11754_1",0.4089100
"11640_10",0.5214739
"9933_7",0.8134286
"185_10",0.9666991
"242_10",0.9960272
"9369_8",0.9418261
"7453_10",0.8966251
"7514_7",0.2296247
"10860_2",0.0144778
