id,sentiment
"12311_10",0.933839
"8348_2",0.094507
"5828_4",0.630468
"7186_2",0.621693
"12128_7",0.845899
"2913_8",0.650082
"4396_1",0.099774
"395_2",0.315262
"10616_1",0.016686
"9074_9",0.509795
"9252_3",0.168966
"9896_9",0.670226
"574_4",0.577442
"11182_8",0.617000
"11656_4",0.415338
"2322_4",0.594455
"8703_1",0.246586
"7483_1",0.144055
"6007_10",0.821737
"12424_4",0.093112
"4672_1",0.024443
"10841_3",0.118111
"8954_7",0.422970
"7392_1",0.152220
"10288_8",0.791965
"5343_4",0.084441
"4950_1",0.026159
"9257_4",0.578926
"8689_3",0.220341
"4480_2",0.345184
"9286_10",0.879017
"12245_10",0.960286
"7529_7",0.794199
"4_4",0.217776
"5299_2",0.054037
"12077_8",0.655559
"10701_2",0.097507
"11579_1",0.088434
"10993_1",0.117652
"8913_1",0.144334
"1350_3",0.277500
"3804_2",0.121621
"5025_3",0.327658
"5170_8",0.385656
"8225_8",0.880242
"6427_7",0.788840
"3165_3",0.481799
"7902_9",0.943118
"8208_3",0.037079
"3577_8",0.809823
"4865_1",0.130936
"9063_3",0.257714
"1106_1",0.391693
"1117_9",0.917038
"1050_4",0.404488
"10755_9",0.582717
"2729_8",0.803997
"10072_10",0.882659
"2904_7",0.849238
"4584_2",0.579826
"189_4",0.633224
"6302_4",0.312904
"8138_9",0.721281
"1262_1",0.257806
"2199_10",0.859424
"6551_7",0.757003
"8082_7",0.359026
"4897_8",0.900160
"7360_1",0.102897
"11012_10",0.807752
"12046_1",0.449903
"2331_2",0.428474
"8961_9",0.855355
"751_7",0.516879
"9884_10",0.772517
"10016_8",0.815914
"8023_10",0.819304
"2628_1",0.082830
"5832_1",0.057832
"7302_1",0.103287
"4501_3",0.361268
"1121_7",0.576557
"8334_3",0.485313
"9789_10",0.447048
"4230_10",0.809401
"824_4",0.274038
"6803_9",0.780763
"3086_7",0.811207
"1135_8",0.863410
"10136_1",0.046784
"11129_3",0.071334
"2072_8",0.655699
"9501_7",0.864102
"319_10",0.818790
